A16_001,A16_002,A16_003,A16_004,A16_005,A16_006,A16_007,A16_008,A16_009,A16_010,A16_011
1310101,13101,千代田区,1,58406,11.66,47115,11.64,100,100,
1310201,13102,中央区,1,141183,10.21,122762,10.18,100,100,
1310201,13102,中央区,1,141183,10.21,122762,10.18,100,100,
1310201,13102,中央区,1,141183,10.21,122762,10.18,100,100,
1310201,13102,中央区,1,141183,10.21,122762,10.18,100,100,
1310301,13103,港区,1,243283,20.37,205131,20.34,100,100,
1310301,13103,港区,1,243283,20.37,205131,20.34,100,100,
1310301,13103,港区,1,243283,20.37,205131,20.34,100,100,
1310401,13104,新宿区,1,333560,18.22,326309,18.23,100,100,
1310501,13105,文京区,1,219724,11.29,206626,11.31,100,100,
1310601,13106,台東区,1,198073,10.11,175928,10.08,100,100,
1310701,13107,墨田区,1,256274,13.77,247606,13.75,100,100,
1310801,13108,江東区,1,498109,40.16,460819,39.94,100,100,
1310901,13109,品川区,1,386855,22.84,365302,22.72,100,100,
1310901,13109,品川区,1,386855,22.84,365302,22.72,100,100,
1310901,13109,品川区,1,386855,22.84,365302,22.72,100,100,
1310901,13109,品川区,1,386855,22.84,365302,22.72,100,100,
1310901,13109,品川区,1,386855,22.84,365302,22.72,100,100,
1311001,13110,目黒区,1,277622,14.67,268330,14.7,100,100,
1311101,13111,大田区,1,717082,60.66,693373,59.46,100,100,
1311101,13111,大田区,1,717082,60.66,693373,59.46,100,100,
1311201,13112,世田谷区,1,903346,58.05,877138,58.08,100,100,
1311301,13113,渋谷区,1,224533,15.11,204492,15.11,100,100,
1311401,13114,中野区,1,328215,15.59,314750,15.59,100,100,
1311501,13115,杉並区,1,563997,34.06,549569,34.02,100,100,
1311601,13116,豊島区,1,291167,13.01,284678,13.01,100,100,
1311701,13117,北区,1,341076,20.61,335544,20.59,100,100,
1311801,13118,荒川区,1,212264,10.16,203296,10.2,100,100,
1311901,13119,板橋区,1,561916,32.22,535824,32.17,100,100,
1312001,13120,練馬区,1,721722,48.08,716124,48.16,100,100,
1312001,13120,練馬区,1,721722,48.08,716124,48.16,100,100,
1312101,13121,足立区,1,670122,53.25,683426,53.2,100,100,
1312201,13122,葛飾区,1,442913,34.8,442586,34.79,100,100,
1312301,13123,江戸川区,1,681298,49.9,678967,49.76,100,100,
1320101,13201,八王子市,1,393289,49.37,392967,49.06,68.1,26.5,
1320102,13201,八王子市,2,108847,10.95,105045,10.32,18.8,5.9,
1320103,13201,八王子市,3,9756,1.76,8597,1.64,1.7,0.9,
1320104,13201,八王子市,4,5392,0.65,5686,0.63,0.9,0.3,
1320201,13202,立川市,1,174212,22.44,177344,22.29,98.8,92.1,
1320301,13203,武蔵野市,1,144730,10.98,138734,10.73,100,100,
1320401,13204,三鷹市,1,186936,16.42,186083,16.5,100,100,
1320501,13205,青梅市,1,107375,17.3,107511,17.26,78.2,16.7,
1320601,13206,府中市,1,260274,29.43,255506,29.34,100,100,
1320701,13207,昭島市,1,111491,14.71,122195,14.65,100,84.8,
1320801,13208,調布市,1,229061,21.58,223593,21.53,100,100,
1320901,13209,町田市,1,406307,45.61,391726,44.45,94,63.5,
1321001,13210,小金井市,1,121396,11.3,118852,11.33,100,100,
1321101,13211,小平市,1,190005,20.51,187035,20.46,100,100,
1321201,13212,日野市,1,184963,24.68,178750,24.65,99.3,89.6,
1321201,13212,日野市,1,184963,24.68,178750,24.65,99.3,89.6,
1321301,13213,東村山市,1,149921,16.58,153398,16.56,100,96.7,
1321401,13214,国分寺市,1,122742,11.46,120650,11.48,100,100,
1321501,13215,国立市,1,71014,6.72,72673,6.74,96.4,82.5,
1321801,13218,福生市,1,58142,9.47,59548,9.47,99.6,93.2,
1321901,13219,狛江市,1,80249,6.39,78751,6.39,100,100,
1322001,13220,東大和市,1,84578,9.77,82516,9.77,99.3,72.8,
1322101,13221,清瀬市,1,71560,8.35,70402,8.05,95.6,81.6,
1322201,13222,東久留米市,1,116632,12.88,116546,12.92,100,100,
1322301,13223,武蔵村山市,1,67596,9.58,66339,9.69,94.9,62.5,
1322401,13224,多摩市,1,142609,16.24,143234,16.22,97.3,77.3,
1322501,13225,稲城市,1,60354,6.61,58244,6.52,68.9,36.8,
1322501,13225,稲城市,1,60354,6.61,58244,6.52,68.9,36.8,
1322502,13225,稲城市,2,10586,0.99,10539,0.93,12.1,5.5,
1322701,13227,羽村市,1,55066,8.86,56325,8.83,98.6,89.5,
1322801,13228,あきる野市,1,64624,10.22,64685,10.45,79.8,13.9,
1322801,13228,あきる野市,1,64624,10.22,64685,10.45,79.8,13.9,
1322901,13229,西東京市,1,200012,15.75,196511,15.85,100,100,
1330301,13303,瑞穂町,1,23146,6.34,23272,6.31,69.2,37.6,
1330501,13305,日の出町,1,9027,1.61,8208,1.57,51.7,5.7,
1330501,13305,日の出町,1,9027,1.61,8208,1.57,51.7,5.7,
